index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Fulton,01A,3694,160,1493,590,21,2264,38,246,130,2,416,2680,
1,Fulton,01B,4327,236,1634,725,5,2600,68,279,173,1,521,3121,
2,Fulton,01C,1908,156,307,121,0,584,44,67,40,0,151,735,
3,Fulton,01D,754,19,242,95,7,363,10,45,22,1,78,441,
4,Fulton,01E,3720,109,1445,645,0,2199,30,217,153,0,400,2599,
5,Fulton,01F,1593,101,224,84,5,414,23,38,24,1,86,500,
6,Fulton,01G,2312,117,643,235,3,998,30,127,60,1,218,1216,
7,Fulton,01H,896,52,150,85,4,291,15,57,32,2,106,397,
8,Fulton,01I,0,0,1,0,0,1,0,0,0,0,0,1,
9,Fulton,01J,2848,182,615,235,9,1041,55,123,82,5,265,1306,
10,Fulton,01P,1444,168,178,132,4,482,45,42,38,0,125,607,
11,Fulton,01R,1550,164,116,89,11,380,50,30,32,3,115,495,
12,Fulton,01S,2118,189,396,149,6,740,56,95,51,1,203,943,
13,Fulton,01T,1799,147,394,145,3,689,39,76,46,0,161,850,
14,Fulton,02A,4884,160,1531,864,13,2568,48,487,285,7,827,3395,
15,Fulton,02A1,733,30,249,35,3,317,10,74,12,0,96,413,
16,Fulton,02B,4020,164,694,236,16,1110,41,146,58,12,257,1367,
17,Fulton,02C,2034,68,573,290,28,959,26,146,87,1,260,1219,
18,Fulton,02D,5539,235,1667,847,18,2767,64,360,204,16,644,3411,
19,Fulton,02E,2009,92,786,386,0,1264,32,139,67,0,238,1502,
20,Fulton,02F1,3221,97,1114,612,5,1828,32,222,124,1,379,2207,
21,Fulton,02F2,851,43,233,110,2,388,16,35,23,2,76,464,
22,Fulton,02G,3895,186,1392,612,2,2192,49,306,149,3,507,2699,
23,Fulton,02J,2273,85,752,350,5,1192,31,173,96,4,304,1496,
24,Fulton,02K,1461,45,535,218,0,798,17,99,63,0,179,977,
25,Fulton,02L1,5546,200,1804,1040,8,3052,55,437,318,5,815,3867,
26,Fulton,02L1A,1477,69,469,64,5,607,19,126,22,1,168,775,
27,Fulton,02L2,2249,109,721,287,3,1120,33,185,92,3,313,1433,
28,Fulton,02S,790,39,243,108,0,390,12,41,26,0,79,469,
29,Fulton,02W,978,51,345,105,0,501,11,74,28,0,113,614,
30,Fulton,03A,2230,122,316,161,16,615,22,75,63,5,165,780,
31,Fulton,03B,777,46,84,43,0,173,16,19,21,0,56,229,
32,Fulton,03C,1879,114,290,155,5,564,32,56,70,1,159,723,
33,Fulton,03D,1235,66,181,70,17,334,23,40,32,4,99,433,
34,Fulton,03E,2894,247,395,157,32,831,58,95,56,10,219,1050,
35,Fulton,03F,2328,118,736,294,3,1151,31,159,74,0,264,1415,
36,Fulton,03G,1033,68,115,34,4,221,16,34,8,1,59,280,
37,Fulton,03H,1091,61,190,68,0,319,28,34,22,0,84,403,
38,Fulton,03I,1607,74,265,101,14,454,25,76,20,5,126,580,
39,Fulton,03L,748,51,74,23,0,148,18,20,18,0,56,204,
