index,County,Precinct,Registered Voters,Matt Brass (I) (Rep)_Election Day Votes,Matt Brass (I) (Rep)_Advanced Voting Votes,Matt Brass (I) (Rep)_Absentee by Mail Votes,Matt Brass (I) (Rep)_Provisional Votes,Matt Brass (I) (Rep)_Choice Total,Total,
0,Fulton,CH01,376,19,63,24,1,107,107,
1,Fulton,CH02,338,36,95,35,0,166,166,
2,Fulton,CH03,410,55,136,39,0,230,230,
3,Fulton,CH04A,825,52,292,84,0,428,428,
4,Fulton,CH05,429,47,148,57,0,252,252,
