index,County,Precinct,Registered Voters,Kim Schofield (I) (Dem)_Election Day Votes,Kim Schofield (I) (Dem)_Advanced Voting Votes,Kim Schofield (I) (Dem)_Absentee by Mail Votes,Kim Schofield (I) (Dem)_Provisional Votes,Kim Schofield (I) (Dem)_Choice Total,Total,
0,Fulton,01S,2118,236,474,206,5,921,921,
1,Fulton,01T,1799,1,8,4,0,13,13,
2,Fulton,11J,2092,181,504,308,16,1009,1009,
3,Fulton,12D,1408,105,353,133,2,593,593,
4,Fulton,12H2,2998,279,691,385,4,1359,1359,
5,Fulton,12J,3154,257,701,334,13,1305,1305,
6,Fulton,12M,2990,363,639,302,16,1320,1320,
7,Fulton,CP01B,422,21,140,47,1,209,209,
8,Fulton,CP02,1208,79,358,167,1,605,605,
9,Fulton,CP04A,13,0,3,0,0,3,3,
10,Fulton,CP04B,38,2,7,9,0,18,18,
11,Fulton,EP01A,2978,185,959,328,13,1485,1485,
12,Fulton,EP01B,3473,215,954,443,9,1621,1621,
13,Fulton,EP02C,522,16,193,63,0,272,272,
14,Fulton,EP02D,420,29,159,49,0,237,237,
15,Fulton,EP02E,1668,103,440,160,0,703,703,
16,Fulton,EP03A,4925,317,1557,801,3,2678,2678,
