index,County,Precinct,Registered Voters,Angela Stanton-King (Rep)_Election Day Votes,Angela Stanton-King (Rep)_Advanced Voting Votes,Angela Stanton-King (Rep)_Absentee by Mail Votes,Angela Stanton-King (Rep)_Provisional Votes,Angela Stanton-King (Rep)_Choice Total,Nikema Williams (Dem)_Election Day Votes,Nikema Williams (Dem)_Advanced Voting Votes,Nikema Williams (Dem)_Absentee by Mail Votes,Nikema Williams (Dem)_Provisional Votes,Nikema Williams (Dem)_Choice Total,Total,
88,Fulton,07F,3790,178,735,266,25,1204,93,941,532,8,1574,2778,
89,Fulton,07H,2060,101,445,153,0,699,41,499,367,0,907,1606,
90,Fulton,07J,3041,123,511,196,7,837,101,818,446,6,1371,2208,
91,Fulton,07M,2401,77,320,95,0,492,105,518,355,0,978,1470,
92,Fulton,07N,2139,43,136,59,2,240,106,586,343,7,1042,1282,
93,Fulton,08F1,2187,118,782,255,3,1158,20,392,249,1,662,1820,
94,Fulton,08G,3086,117,461,219,0,797,92,565,477,5,1139,1936,
95,Fulton,08H,2556,99,744,278,2,1123,35,467,401,1,904,2027,
96,Fulton,08J,3344,150,826,211,4,1191,78,888,394,3,1363,2554,
97,Fulton,08K,1049,66,189,69,0,324,32,289,172,0,493,817,
98,Fulton,08L,4505,172,703,224,7,1106,125,1211,720,15,2071,3177,
99,Fulton,08M,2295,140,704,206,4,1054,52,397,236,2,687,1741,
100,Fulton,08P,1887,42,124,57,4,227,101,580,209,5,895,1122,
101,Fulton,09A,3856,84,489,132,3,708,135,1306,533,6,1980,2688,
102,Fulton,09B,464,2,3,1,0,6,27,76,69,0,172,178,
103,Fulton,09C,3353,23,38,15,2,78,247,842,460,25,1574,1652,
104,Fulton,09D,2299,14,18,13,1,46,214,428,291,9,942,988,
105,Fulton,09E,3261,42,90,27,1,160,244,903,315,2,1464,1624,
106,Fulton,09F,3917,128,804,269,6,1207,94,1059,549,1,1703,2910,
107,Fulton,09G,3943,139,407,160,4,710,159,1312,569,8,2048,2758,
108,Fulton,09H,1185,22,55,24,0,101,68,380,151,1,600,701,
109,Fulton,09I,1397,18,21,7,0,46,126,245,168,2,541,587,
110,Fulton,09K,4002,23,58,20,0,101,251,826,467,11,1555,1656,
111,Fulton,09K1,1518,6,16,1,1,24,107,307,42,1,457,481,
112,Fulton,09M,2578,49,268,68,0,385,83,1086,333,0,1502,1887,
113,Fulton,10A,3186,15,32,15,0,62,229,931,525,16,1701,1763,
114,Fulton,10B,3965,23,50,21,2,96,213,1470,879,8,2570,2666,
115,Fulton,10C,2598,11,21,6,0,38,132,674,322,14,1142,1180,
116,Fulton,10D,4968,30,46,24,15,115,290,1095,532,140,2057,2172,
117,Fulton,10E,1084,6,15,4,0,25,92,290,181,4,567,592,
118,Fulton,10F,1208,11,16,7,2,36,111,295,196,11,613,649,
119,Fulton,10G,1332,10,13,12,1,36,93,506,232,2,833,869,
120,Fulton,10H1,439,4,5,1,0,10,26,148,81,14,269,279,
121,Fulton,10H2,2623,10,24,10,1,45,169,537,331,12,1049,1094,
122,Fulton,10I,331,5,6,0,0,11,12,154,91,0,257,268,
123,Fulton,10J,1238,11,8,6,1,26,137,187,124,14,462,488,
