index,County,Precinct,Registered Voters,Barbara J. Gresham (Rep)_Election Day Votes,Barbara J. Gresham (Rep)_Advanced Voting Votes,Barbara J. Gresham (Rep)_Absentee by Mail Votes,Barbara J. Gresham (Rep)_Provisional Votes,Barbara J. Gresham (Rep)_Choice Total,Natalie Hall (I) (Dem)_Election Day Votes,Natalie Hall (I) (Dem)_Advanced Voting Votes,Natalie Hall (I) (Dem)_Absentee by Mail Votes,Natalie Hall (I) (Dem)_Provisional Votes,Natalie Hall (I) (Dem)_Choice Total,Total,
0,Fulton,01H,896,5,12,3,0,20,62,201,119,6,388,408,
1,Fulton,01I,0,0,1,0,0,1,0,0,0,0,0,1,
2,Fulton,02B,4020,36,103,32,11,182,164,751,275,14,1204,1386,
3,Fulton,02C,2034,28,71,31,7,137,69,676,370,22,1137,1274,
4,Fulton,02D,5539,95,317,112,7,531,214,1798,1005,13,3030,3561,
5,Fulton,02F2,851,20,41,18,3,82,37,233,121,2,393,475,
6,Fulton,02G,3895,82,252,108,2,444,157,1509,685,2,2353,2797,
7,Fulton,02J,2273,31,110,62,3,206,90,857,403,9,1359,1565,
8,Fulton,02K,1461,30,98,22,0,150,31,565,274,0,870,1020,
9,Fulton,02L1,5546,97,436,228,5,766,157,1892,1158,8,3215,3981,
10,Fulton,02L1A,1477,25,90,14,2,131,68,525,76,5,674,805,
11,Fulton,02L2,2249,43,169,49,2,263,102,775,338,4,1219,1482,
12,Fulton,02S,790,12,23,11,0,46,38,266,125,0,429,475,
13,Fulton,03A,2230,11,15,8,3,37,139,383,216,19,757,794,
14,Fulton,03B,777,4,6,1,0,11,54,98,61,0,213,224,
15,Fulton,03C,1879,12,13,6,0,31,136,337,226,7,706,737,
16,Fulton,03D,1235,8,10,10,0,28,83,211,101,19,414,442,
17,Fulton,03E,2894,24,26,8,8,66,288,480,210,31,1009,1075,
18,Fulton,03G,1033,5,7,1,1,14,78,144,44,4,270,284,
19,Fulton,03H,1091,9,8,3,0,20,84,219,95,1,399,419,
20,Fulton,03I,1607,18,56,17,3,94,91,314,104,18,527,621,
21,Fulton,03L,748,4,5,2,0,11,70,92,41,0,203,214,
22,Fulton,03M,965,64,42,6,0,112,121,225,84,2,432,544,
23,Fulton,03N,2804,20,27,6,3,56,217,451,151,19,838,894,
24,Fulton,03P2,23,0,0,0,0,0,0,7,0,0,7,7,
25,Fulton,03S,908,3,3,3,0,9,95,204,103,0,402,411,
26,Fulton,03T,1742,15,33,4,0,52,138,481,130,4,753,805,
27,Fulton,04A,1554,4,16,6,0,26,100,311,160,0,571,597,
28,Fulton,04B,2948,10,20,6,0,36,120,404,209,0,733,769,
29,Fulton,04C,150,1,2,1,0,4,10,26,11,1,48,52,
30,Fulton,04D,1736,14,19,10,0,43,150,446,180,5,781,824,
31,Fulton,04F,2786,32,70,17,3,122,173,740,194,7,1114,1236,
32,Fulton,04G,1025,5,6,4,0,15,114,189,81,1,385,400,
33,Fulton,04I,4604,11,40,20,0,71,75,442,168,6,691,762,
34,Fulton,04J,1617,4,4,2,2,12,42,107,17,6,172,184,
35,Fulton,04K,2736,11,29,10,0,50,194,693,354,10,1251,1301,
36,Fulton,04L,2014,19,19,17,1,56,161,558,187,5,911,967,
37,Fulton,04M,979,7,6,3,0,16,100,151,68,1,320,336,
38,Fulton,04S,2541,16,30,14,0,60,259,592,291,8,1150,1210,
39,Fulton,04T,1297,6,20,3,1,30,129,336,158,20,643,673,
40,Fulton,04W,3365,1,3,0,1,5,55,127,27,6,215,220,
41,Fulton,04X1,2283,12,30,12,0,54,157,594,259,2,1012,1066,
42,Fulton,04X2,846,6,16,2,0,24,53,234,97,0,384,408,
43,Fulton,05B,2171,19,28,13,0,60,162,606,260,1,1029,1089,
44,Fulton,05C,135,2,3,1,0,6,5,26,7,0,38,44,
45,Fulton,05D,541,2,2,0,0,4,20,57,9,0,86,90,
46,Fulton,05F,248,5,7,1,1,14,20,82,23,0,125,139,
47,Fulton,05J,684,8,27,15,0,50,34,264,118,0,416,466,
48,Fulton,05K,2826,23,67,23,1,114,136,679,259,2,1076,1190,
49,Fulton,06B,1889,56,166,54,2,278,56,695,356,5,1112,1390,
50,Fulton,06G,588,11,42,23,0,76,14,206,113,1,334,410,
51,Fulton,09A,3856,77,460,117,1,655,141,1315,520,8,1984,2639,
52,Fulton,09B,464,1,2,1,0,4,28,79,67,0,174,178,
53,Fulton,09C,3353,20,29,11,4,64,246,850,462,21,1579,1643,
54,Fulton,09D,2299,10,18,7,1,36,215,425,294,7,941,977,
55,Fulton,09E,3261,30,81,19,0,130,254,906,311,2,1473,1603,
56,Fulton,09F,3917,119,758,248,5,1130,95,1080,540,1,1716,2846,
57,Fulton,09G,3943,118,372,141,3,634,172,1337,556,8,2073,2707,
58,Fulton,09I,1397,17,16,7,0,40,125,250,167,2,544,584,
59,Fulton,09K,4002,20,57,18,0,95,256,837,462,11,1566,1661,
