index,County,Precinct,Registered Voters,Marie Metze (I) (Dem)_Election Day Votes,Marie Metze (I) (Dem)_Advanced Voting Votes,Marie Metze (I) (Dem)_Absentee by Mail Votes,Marie Metze (I) (Dem)_Provisional Votes,Marie Metze (I) (Dem)_Choice Total,Total,
0,Fulton,03H,1091,89,222,98,0,409,409,
1,Fulton,03M,965,155,240,80,2,477,477,
2,Fulton,03S,908,99,203,99,0,401,401,
3,Fulton,06L2,726,23,262,125,1,411,411,
4,Fulton,06N,1770,78,518,277,0,873,873,
5,Fulton,07J,3041,162,1035,490,10,1697,1697,
6,Fulton,08K,1049,70,382,204,0,656,656,
7,Fulton,08L,4505,218,1551,790,16,2575,2575,
8,Fulton,08P,1887,118,636,224,8,986,986,
9,Fulton,09G,3943,231,1511,620,9,2371,2371,
10,Fulton,09H,1185,78,412,151,1,642,642,
11,Fulton,09I,1397,139,252,169,2,562,562,
12,Fulton,10B,3965,232,1467,857,9,2565,2565,
13,Fulton,10H2,2623,175,549,328,0,1052,1052,
14,Fulton,11B,4395,338,1322,812,6,2478,2478,
15,Fulton,11B1,894,69,287,28,3,387,387,
16,Fulton,11C,3149,162,1335,563,2,2062,2062,
17,Fulton,11E2,1003,75,335,158,0,568,568,
18,Fulton,11M,1380,99,560,338,2,999,999,
19,Fulton,11M1,2190,136,518,52,7,713,713,
20,Fulton,11N,2431,193,801,421,3,1418,1418,
21,Fulton,11P,2095,132,531,369,11,1043,1043,
22,Fulton,SC02,1426,42,715,259,1,1017,1017,
23,Fulton,SC30A,157,5,44,59,7,115,115,
24,Fulton,SC30B,1110,59,358,147,0,564,564,
