index,County,Precinct,Registered Voters,Park Cannon (I) (Dem)_Election Day Votes,Park Cannon (I) (Dem)_Advanced Voting Votes,Park Cannon (I) (Dem)_Absentee by Mail Votes,Park Cannon (I) (Dem)_Provisional Votes,Park Cannon (I) (Dem)_Choice Total,Total,
0,Fulton,01D,754,25,279,111,7,422,422,
1,Fulton,01F,1593,118,255,104,6,483,483,
2,Fulton,01H,896,65,202,116,2,385,385,
3,Fulton,01I,0,0,1,0,0,1,1,
4,Fulton,02C,2034,83,707,382,19,1191,1191,
5,Fulton,02D,5539,277,1955,1055,17,3304,3304,
6,Fulton,02F2,851,47,265,132,3,447,447,
7,Fulton,02G,3895,205,1641,736,4,2586,2586,
8,Fulton,02J,2273,101,890,424,9,1424,1424,
9,Fulton,02K,1461,47,610,282,0,939,939,
10,Fulton,02S,790,44,283,134,0,461,461,
11,Fulton,04M,979,102,148,67,2,319,319,
12,Fulton,05A1,2936,135,1272,604,1,2012,2012,
13,Fulton,05B,2171,172,610,258,0,1040,1040,
14,Fulton,05C,135,7,27,8,0,42,42,
15,Fulton,05F,248,22,86,25,0,133,133,
16,Fulton,05J,684,37,272,120,0,429,429,
17,Fulton,05K,2826,150,714,275,1,1140,1140,
18,Fulton,06B,1889,91,777,378,6,1252,1252,
19,Fulton,06F,2841,114,1155,505,4,1778,1778,
20,Fulton,06G,588,19,218,120,1,358,358,
21,Fulton,11G,2556,116,458,302,17,893,893,
22,Fulton,11K,2045,135,601,360,3,1099,1099,
23,Fulton,11R,2253,119,441,223,6,789,789,
24,Fulton,12A,4971,285,1619,732,21,2657,2657,
25,Fulton,12A1,690,41,299,20,8,368,368,
26,Fulton,12I,1079,53,220,137,35,445,445,
27,Fulton,12L,774,54,136,66,2,258,258,
28,Fulton,12N,1134,91,218,83,9,401,401,
29,Fulton,12S,2079,163,564,235,3,965,965,
