index,County,Precinct,Registered Voters,Sheila Jones (I) (Dem)_Election Day Votes,Sheila Jones (I) (Dem)_Advanced Voting Votes,Sheila Jones (I) (Dem)_Absentee by Mail Votes,Sheila Jones (I) (Dem)_Provisional Votes,Sheila Jones (I) (Dem)_Choice Total,Total,
0,Fulton,08E,2568,84,782,486,0,1352,1352,
1,Fulton,09A,3856,193,1529,577,9,2308,2308,
2,Fulton,09B,464,30,77,68,0,175,175,
3,Fulton,09C,3353,261,866,460,25,1612,1612,
4,Fulton,09D,2299,220,432,286,9,947,947,
5,Fulton,09E,3261,275,946,314,2,1537,1537,
6,Fulton,09F,3917,167,1453,663,4,2287,2287,
7,Fulton,09K,4002,267,875,472,11,1625,1625,
8,Fulton,09K1,1518,112,319,40,1,472,472,
9,Fulton,09M,2578,102,1206,347,0,1655,1655,
10,Fulton,10D,4968,313,1140,533,147,2133,2133,
11,Fulton,10E,1084,93,303,185,3,584,584,
12,Fulton,10F,1208,115,300,198,13,626,626,
13,Fulton,10H1,439,30,148,79,14,271,271,
14,Fulton,10P,1607,148,334,239,2,723,723,
15,Fulton,10R,928,98,199,84,9,390,390,
