index,County,Precinct,Registered Voters,Arthur E. Ferdinand (I) (Dem)_Election Day Votes,Arthur E. Ferdinand (I) (Dem)_Advanced Voting Votes,Arthur E. Ferdinand (I) (Dem)_Absentee by Mail Votes,Arthur E. Ferdinand (I) (Dem)_Provisional Votes,Arthur E. Ferdinand (I) (Dem)_Choice Total,Total,
0,Fulton,01A,3694,169,1627,647,24,2467,2467,
1,Fulton,01B,4327,256,1728,788,5,2777,2777,
2,Fulton,01C,1908,192,369,154,0,715,715,
3,Fulton,01D,754,25,273,105,7,410,410,
4,Fulton,01E,3720,116,1481,681,1,2279,2279,
5,Fulton,01F,1593,119,251,96,7,473,473,
6,Fulton,01G,2312,140,718,279,2,1139,1139,
7,Fulton,01H,896,66,204,118,5,393,393,
8,Fulton,01I,0,0,1,0,0,1,1,
9,Fulton,01J,2848,231,717,315,16,1279,1279,
10,Fulton,01P,1444,205,214,160,4,583,583,
11,Fulton,01R,1550,210,143,120,11,484,484,
12,Fulton,01S,2118,237,465,195,8,905,905,
13,Fulton,01T,1799,174,451,174,4,803,803,
14,Fulton,02A,4884,181,1842,986,19,3028,3028,
15,Fulton,02A1,733,30,302,49,2,383,383,
16,Fulton,02B,4020,175,785,274,26,1260,1260,
17,Fulton,02C,2034,82,696,374,28,1180,1180,
18,Fulton,02D,5539,276,1932,1011,31,3250,3250,
19,Fulton,02E,2009,96,844,378,0,1318,1318,
20,Fulton,02F1,3221,113,1263,666,6,2048,2048,
21,Fulton,02F2,851,48,261,127,4,440,440,
22,Fulton,02G,3895,202,1569,700,6,2477,2477,
23,Fulton,02J,2273,101,856,371,9,1337,1337,
24,Fulton,02K,1461,48,576,260,0,884,884,
25,Fulton,02L1,5546,205,2067,1193,10,3475,3475,
26,Fulton,02L1A,1477,82,549,78,4,713,713,
27,Fulton,02L2,2249,128,848,347,5,1328,1328,
28,Fulton,02S,790,44,276,127,0,447,447,
29,Fulton,02W,978,61,398,120,0,579,579,
30,Fulton,03A,2230,139,372,213,19,743,743,
31,Fulton,03B,777,55,99,60,0,214,214,
32,Fulton,03C,1879,141,332,221,7,701,701,
33,Fulton,03D,1235,88,213,99,20,420,420,
34,Fulton,03E,2894,299,474,205,40,1018,1018,
35,Fulton,03F,2328,135,816,322,3,1276,1276,
36,Fulton,03G,1033,78,148,43,4,273,273,
37,Fulton,03H,1091,87,216,93,0,396,396,
38,Fulton,03I,1607,105,328,101,19,553,553,
39,Fulton,03L,748,66,91,41,0,198,198,
40,Fulton,03M,965,152,235,77,2,466,466,
41,Fulton,03N,2804,226,468,152,23,869,869,
42,Fulton,03P1A,4404,265,1373,497,13,2148,2148,
43,Fulton,03P2,23,0,7,0,0,7,7,
44,Fulton,03S,908,97,203,98,0,398,398,
45,Fulton,03T,1742,147,488,126,4,765,765,
46,Fulton,04A,1554,94,316,155,0,565,565,
47,Fulton,04B,2948,126,403,202,0,731,731,
48,Fulton,04C,150,11,26,11,1,49,49,
49,Fulton,04D,1736,152,443,176,5,776,776,
50,Fulton,04F,2786,190,774,197,10,1171,1171,
51,Fulton,04G,1025,118,187,79,1,385,385,
52,Fulton,04I,4604,71,445,169,6,691,691,
53,Fulton,04J,1617,45,110,17,10,182,182,
54,Fulton,04K,2736,189,690,349,15,1243,1243,
55,Fulton,04L,2014,166,532,174,6,878,878,
56,Fulton,04M,979,98,147,70,5,320,320,
57,Fulton,04S,2541,262,599,296,8,1165,1165,
58,Fulton,04T,1297,131,340,150,22,643,643,
59,Fulton,04V,3573,365,705,223,3,1296,1296,
60,Fulton,04W,3365,56,129,26,6,217,217,
61,Fulton,04X1,2283,167,586,249,2,1004,1004,
62,Fulton,04X2,846,60,234,93,0,387,387,
63,Fulton,05A1,2936,136,1229,574,1,1940,1940,
64,Fulton,05A2,3343,142,1407,574,10,2133,2133,
65,Fulton,05B,2171,174,607,254,2,1037,1037,
66,Fulton,05C,135,6,27,7,0,40,40,
67,Fulton,05D,541,19,57,9,2,87,87,
68,Fulton,05F,248,22,85,24,0,131,131,
69,Fulton,05J,684,39,263,118,1,421,421,
70,Fulton,05K,2826,150,706,266,5,1127,1127,
71,Fulton,06B,1889,89,744,337,7,1177,1177,
72,Fulton,06D,6160,322,2093,1716,11,4142,4142,
73,Fulton,06D1,2539,67,902,138,4,1111,1111,
74,Fulton,06D2,850,23,295,40,0,358,358,
75,Fulton,06E,2344,112,830,357,1,1300,1300,
76,Fulton,06F,2841,114,1100,437,5,1656,1656,
77,Fulton,06G,588,19,200,106,1,326,326,
