index,County,Precinct,Registered Voters,Matt Dollar (I) (Rep)_Election Day Votes,Matt Dollar (I) (Rep)_Advanced Voting Votes,Matt Dollar (I) (Rep)_Absentee by Mail Votes,Matt Dollar (I) (Rep)_Provisional Votes,Matt Dollar (I) (Rep)_Choice Total,Sara Tindall Ghazal (Dem)_Election Day Votes,Sara Tindall Ghazal (Dem)_Advanced Voting Votes,Sara Tindall Ghazal (Dem)_Absentee by Mail Votes,Sara Tindall Ghazal (Dem)_Provisional Votes,Sara Tindall Ghazal (Dem)_Choice Total,Total,
0,Fulton,SS19A,3299,75,361,109,6,551,137,939,367,8,1451,2002,
1,Fulton,SS22,2834,107,394,225,0,726,111,515,368,3,997,1723,
