index,County,Precinct,Registered Voters,"William K. Boddie, Jr. (I) (Dem)_Election Day Votes","William K. Boddie, Jr. (I) (Dem)_Advanced Voting Votes","William K. Boddie, Jr. (I) (Dem)_Absentee by Mail Votes","William K. Boddie, Jr. (I) (Dem)_Provisional Votes","William K. Boddie, Jr. (I) (Dem)_Choice Total",Total,
0,Fulton,CP011,1353,90,400,156,8,654,654,
1,Fulton,CP012,1469,82,528,209,5,824,824,
2,Fulton,EP03B,1547,77,593,340,4,1014,1014,
3,Fulton,EP04A,5020,466,1315,659,17,2457,2457,
4,Fulton,EP04B,2624,148,1063,270,4,1485,1485,
5,Fulton,EP04C,1318,0,396,39,4,439,439,
6,Fulton,SC05B,3646,182,1762,490,7,2441,2441,
7,Fulton,SC05D,2808,181,1284,359,2,1826,1826,
8,Fulton,SC05E,688,43,253,133,3,432,432,
9,Fulton,SC08C,91,6,45,17,0,68,68,
10,Fulton,SC15,4522,274,1982,820,6,3082,3082,
11,Fulton,SC15A,2482,136,1288,105,0,1529,1529,
12,Fulton,SC17A,60,1,32,9,0,42,42,
13,Fulton,SC18B,915,41,461,160,0,662,662,
14,Fulton,SC18C,2100,78,1000,409,0,1487,1487,
15,Fulton,SC19A,213,6,84,43,1,134,134,
16,Fulton,SC20,2562,110,1459,361,27,1957,1957,
17,Fulton,UC01E,512,42,267,71,0,380,380,
18,Fulton,UC02B,32,2,11,3,0,16,16,
19,Fulton,UC02C,3614,0,6,0,1,7,7,
