index,County,Precinct,Registered Voters,Zan Fort_Election Day Votes,Zan Fort_Advanced Voting Votes,Zan Fort_Absentee by Mail Votes,Zan Fort_Provisional Votes,Zan Fort_Choice Total,Sonya Halpern_Election Day Votes,Sonya Halpern_Advanced Voting Votes,Sonya Halpern_Absentee by Mail Votes,Sonya Halpern_Provisional Votes,Sonya Halpern_Choice Total,Jo Anna Potts_Election Day Votes,Jo Anna Potts_Advanced Voting Votes,Jo Anna Potts_Absentee by Mail Votes,Jo Anna Potts_Provisional Votes,Jo Anna Potts_Choice Total,Linda Pritchett_Election Day Votes,Linda Pritchett_Advanced Voting Votes,Linda Pritchett_Absentee by Mail Votes,Linda Pritchett_Provisional Votes,Linda Pritchett_Choice Total,Total,
54,Fulton,EP01A,2978,24,109,74,1,208,55,371,130,5,561,38,166,46,0,250,44,201,85,1,331,1350,
55,Fulton,EP01B,3473,22,146,90,0,258,46,364,158,0,568,16,142,83,0,241,31,203,89,0,323,1390,
56,Fulton,EP02D,420,1,16,7,0,24,9,60,18,0,87,1,19,7,0,27,4,45,10,0,59,197,
57,Fulton,EP03A,4925,32,198,150,0,380,94,539,307,0,940,41,320,135,0,496,54,321,165,0,540,2356,
58,Fulton,EP03B,1547,10,63,55,0,128,21,177,104,3,305,21,183,89,1,294,15,116,76,0,207,934,
59,Fulton,EP04A,5020,38,93,94,2,227,142,561,269,5,977,71,214,96,1,382,98,331,156,1,586,2172,
60,Fulton,EP04B,2624,8,64,38,0,110,62,450,126,0,638,16,149,33,0,198,33,280,60,0,373,1319,
61,Fulton,EP04C,1318,0,33,10,0,43,0,149,14,1,164,0,70,3,0,73,0,97,4,0,101,381,
62,Fulton,SC08B,4096,29,87,74,0,190,116,600,224,2,942,49,237,93,0,379,77,424,192,0,693,2204,
63,Fulton,SC08C,91,1,4,1,0,6,1,27,10,0,38,1,8,1,0,10,0,6,5,0,11,65,
64,Fulton,SC08D,605,7,18,10,0,35,10,89,22,0,121,7,22,10,0,39,6,77,31,0,114,309,
