index,County,Precinct,Registered Voters,Becky E. Hites (Rep)_Election Day Votes,Becky E. Hites (Rep)_Advanced Voting Votes,Becky E. Hites (Rep)_Absentee by Mail Votes,Becky E. Hites (Rep)_Provisional Votes,Becky E. Hites (Rep)_Choice Total,David Scott (I) (Dem)_Election Day Votes,David Scott (I) (Dem)_Advanced Voting Votes,David Scott (I) (Dem)_Absentee by Mail Votes,David Scott (I) (Dem)_Provisional Votes,David Scott (I) (Dem)_Choice Total,Total,
0,Fulton,CH01,376,13,25,15,1,54,9,104,38,3,154,208,
1,Fulton,CH02,338,35,78,34,0,147,13,51,33,0,97,244,
2,Fulton,CH03,410,50,116,31,0,197,14,62,26,0,102,299,
3,Fulton,CH04A,825,42,218,65,0,325,18,214,96,0,328,653,
4,Fulton,CH05,429,43,131,44,0,218,10,50,40,0,100,318,
5,Fulton,CP06A,732,5,9,1,0,15,48,121,40,0,209,224,
6,Fulton,CP081,373,3,1,1,0,5,32,54,15,5,106,111,
7,Fulton,CP083,240,2,0,0,0,2,11,19,3,0,33,35,
8,Fulton,CP084,1,0,0,0,0,0,0,0,0,0,0,0,
9,Fulton,CP08A,756,8,2,0,0,10,55,83,28,0,166,176,
10,Fulton,EP04B,2624,11,26,8,0,45,144,1059,277,3,1483,1528,
11,Fulton,EP04C,1318,0,13,1,1,15,0,394,40,1,435,450,
12,Fulton,FA01A,4032,41,152,70,1,264,224,1394,597,16,2231,2495,
13,Fulton,FA01B,5860,4,226,88,0,318,26,2204,832,8,3070,3388,
14,Fulton,FA01C,769,6,15,6,0,27,59,285,102,1,447,474,
15,Fulton,FA01D,321,2,9,2,2,15,18,119,6,13,156,171,
16,Fulton,PA01,3006,49,217,117,6,389,178,856,335,11,1380,1769,
17,Fulton,SC04,1080,53,106,37,2,198,64,320,143,2,529,727,
18,Fulton,SC05A,721,1,5,3,0,9,53,314,86,4,457,466,
19,Fulton,SC05B,3646,16,41,21,1,79,176,1766,493,7,2442,2521,
20,Fulton,SC05D,2808,16,45,14,0,75,175,1284,360,2,1821,1896,
21,Fulton,SC05E,688,6,33,30,0,69,40,247,118,3,408,477,
22,Fulton,SC07A,4506,34,215,87,0,336,231,1785,1021,11,3048,3384,
23,Fulton,SC07C,41,0,1,1,0,2,1,8,2,0,11,13,
24,Fulton,SC07D,2038,8,35,4,1,48,131,842,89,2,1064,1112,
25,Fulton,SC08B,4096,24,48,23,1,96,258,1531,649,13,2451,2547,
26,Fulton,SC08C,91,0,0,0,0,0,6,47,17,0,70,70,
27,Fulton,SC08D,605,1,1,3,0,5,38,235,78,0,351,356,
28,Fulton,SC08E,724,1,8,2,0,11,57,300,64,4,425,436,
29,Fulton,SC08F,793,5,6,1,0,12,39,283,101,0,423,435,
30,Fulton,SC08G,14,0,0,0,0,0,0,3,0,0,3,3,
31,Fulton,SC08H,1,0,0,0,0,0,0,0,0,0,0,0,
32,Fulton,SC09A,1865,8,19,8,1,36,176,530,231,4,941,977,
33,Fulton,SC09B,1920,9,16,4,0,29,120,722,367,2,1211,1240,
34,Fulton,SC09C,1852,10,20,10,0,40,181,532,296,0,1009,1049,
35,Fulton,SC10,1912,6,12,11,0,29,153,423,182,5,763,792,
36,Fulton,SC11A,1656,11,20,7,1,39,137,533,263,19,952,991,
37,Fulton,SC11B,1691,7,17,9,0,33,113,535,317,2,967,1000,
38,Fulton,SC13,2895,17,69,14,2,102,159,1323,424,3,1909,2011,
39,Fulton,SC15,4522,17,72,42,0,131,268,1983,826,6,3083,3214,
40,Fulton,SC15A,2482,6,15,4,0,25,130,1299,107,0,1536,1561,
41,Fulton,SC17A,60,0,0,1,0,1,1,32,10,0,43,44,
42,Fulton,SC17B,10,0,1,0,0,1,0,1,0,3,4,5,
43,Fulton,SC17C,1293,13,14,7,0,34,65,499,187,0,751,785,
44,Fulton,SC18B,915,2,11,5,0,18,38,454,161,0,653,671,
45,Fulton,SC18C,2100,6,40,19,0,65,74,994,416,0,1484,1549,
46,Fulton,SC19A,213,2,2,4,0,8,4,85,43,1,133,141,
47,Fulton,SC19B,1628,3,14,8,0,25,135,433,219,10,797,822,
48,Fulton,SC20,2562,6,38,6,4,54,107,1464,363,24,1958,2012,
49,Fulton,SC211,1828,9,27,16,0,52,99,817,294,0,1210,1262,
50,Fulton,SC212,4244,18,74,39,1,132,249,1704,600,11,2564,2696,
51,Fulton,SC23A,3854,26,30,14,0,70,322,1118,637,11,2088,2158,
52,Fulton,SC23B,558,4,6,8,0,18,52,165,110,2,329,347,
53,Fulton,SC23C,2606,18,26,8,0,52,199,871,401,2,1473,1525,
54,Fulton,SC27,2361,10,16,13,0,39,148,732,472,0,1352,1391,
55,Fulton,SC29A,3154,9,41,11,0,61,273,932,549,9,1763,1824,
56,Fulton,UC01A,4234,20,57,18,0,95,319,1195,343,12,1869,1964,
57,Fulton,UC01B,428,3,4,0,2,9,44,139,29,4,216,225,
58,Fulton,UC01D,6,0,0,0,0,0,0,0,0,0,0,0,
59,Fulton,UC01E,512,1,8,3,0,12,40,263,71,0,374,386,
60,Fulton,UC02A,5609,21,65,44,1,131,316,2181,1140,15,3652,3783,
61,Fulton,UC02B,32,1,5,0,0,6,2,9,3,0,14,20,
62,Fulton,UC02C,3614,19,63,15,0,97,135,1224,131,12,1502,1599,
63,Fulton,UC031,2745,22,91,118,2,233,149,633,418,23,1223,1456,
64,Fulton,UC032,393,5,14,16,0,35,19,130,75,1,225,260,
