index,County,Precinct,Registered Voters,Mesha Mainor (Dem)_Election Day Votes,Mesha Mainor (Dem)_Advanced Voting Votes,Mesha Mainor (Dem)_Absentee by Mail Votes,Mesha Mainor (Dem)_Provisional Votes,Mesha Mainor (Dem)_Choice Total,Total,
0,Fulton,02L2,2249,126,859,354,5,1344,1344,
1,Fulton,02W,978,58,402,123,0,583,583,
2,Fulton,03A,2230,140,376,225,20,761,761,
3,Fulton,03B,777,55,100,61,0,216,216,
4,Fulton,03C,1879,141,335,226,5,707,707,
5,Fulton,03D,1235,88,215,103,19,425,425,
6,Fulton,03E,2894,296,487,210,36,1029,1029,
7,Fulton,03F,2328,135,816,325,3,1279,1279,
8,Fulton,03G,1033,79,150,44,2,275,275,
9,Fulton,03I,1607,101,334,107,19,561,561,
10,Fulton,03L,748,68,94,42,0,204,204,
11,Fulton,03N,2804,223,470,155,22,870,870,
12,Fulton,03P1A,4404,276,1399,505,10,2190,2190,
13,Fulton,03P2,23,0,7,0,0,7,7,
14,Fulton,03T,1742,149,496,133,5,783,783,
15,Fulton,04A,1554,99,319,157,0,575,575,
16,Fulton,04C,150,11,27,12,1,51,51,
17,Fulton,04D,1736,155,451,185,5,796,796,
18,Fulton,04F,2786,190,775,206,11,1182,1182,
19,Fulton,04J,1617,46,109,18,6,179,179,
20,Fulton,04L,2014,168,549,185,3,905,905,
21,Fulton,04X2,846,60,237,94,0,391,391,
22,Fulton,06E,2344,111,859,386,0,1356,1356,
23,Fulton,06L1,991,36,364,213,1,614,614,
24,Fulton,06R,2015,56,678,356,3,1093,1093,
25,Fulton,10G,1332,96,501,230,0,827,827,
26,Fulton,10J,1238,144,186,123,8,461,461,
