index,County,Precinct,Registered Voters,Susan Holmes (I) (Rep)_Election Day Votes,Susan Holmes (I) (Rep)_Advanced Voting Votes,Susan Holmes (I) (Rep)_Absentee by Mail Votes,Susan Holmes (I) (Rep)_Provisional Votes,Susan Holmes (I) (Rep)_Choice Total,Sharonda Bell (Dem)_Election Day Votes,Sharonda Bell (Dem)_Advanced Voting Votes,Sharonda Bell (Dem)_Absentee by Mail Votes,Sharonda Bell (Dem)_Provisional Votes,Sharonda Bell (Dem)_Choice Total,Joe Reed (Ind)_Election Day Votes,Joe Reed (Ind)_Advanced Voting Votes,Joe Reed (Ind)_Absentee by Mail Votes,Joe Reed (Ind)_Provisional Votes,Joe Reed (Ind)_Choice Total,Total,
0,Jasper,Wyatt,1940,445,491,138,1,1075,68,63,93,1,225,12,11,13,0,36,1336,
1,Jasper,Monticello,4516,274,1564,395,10,2243,145,432,361,0,938,20,80,21,1,122,3303,
2,Jasper,Martin-Burney,3976,793,1407,339,1,2540,42,104,81,0,227,33,52,37,0,122,2889,
