index,County,Precinct,Registered Voters,Billy Norris (I) (Rep)_Election Day Votes,Billy Norris (I) (Rep)_Advanced Voting Votes,Billy Norris (I) (Rep)_Absentee by Mail Votes,Billy Norris (I) (Rep)_Provisional Votes,Billy Norris (I) (Rep)_Choice Total,Total,
0,Jasper,Wyatt,1940,489,540,190,1,1220,1220,
1,Jasper,Monticello,4516,367,1848,572,10,2797,2797,
2,Jasper,Martin-Burney,3976,841,1493,403,1,2738,2738,
