index,County,Precinct,Registered Voters,Steven Ledford (Rep)_Election Day Votes,Steven Ledford (Rep)_Advanced Voting Votes,Steven Ledford (Rep)_Absentee by Mail Votes,Steven Ledford (Rep)_Provisional Votes,Steven Ledford (Rep)_Choice Total,Total,
0,Jasper,Wyatt,1940,267,245,63,0,575,575,
1,Jasper,Monticello,4516,13,67,18,0,98,98,
2,Jasper,Martin-Burney,3976,238,511,134,1,884,884,
