index,County,Precinct,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,
0,Jasper,Wyatt,1940,491,532,183,1,1207,1207,
1,Jasper,Monticello,4516,349,1815,532,10,2706,2706,
2,Jasper,Martin-Burney,3976,844,1496,393,1,2734,2734,
