index,County,Precinct,Registered Voters,Angela Stone Walsh (I) (Rep)_Election Day Votes,Angela Stone Walsh (I) (Rep)_Advanced Voting Votes,Angela Stone Walsh (I) (Rep)_Absentee by Mail Votes,Angela Stone Walsh (I) (Rep)_Provisional Votes,Angela Stone Walsh (I) (Rep)_Choice Total,Total,
0,Jasper,Wyatt,1940,493,539,190,2,1224,1224,
1,Jasper,Monticello,4516,364,1888,595,10,2857,2857,
2,Jasper,Martin-Burney,3976,851,1496,408,1,2756,2756,
