index,County,Precinct,Registered Voters,Leann Roper Airington (Rep)_Election Day Votes,Leann Roper Airington (Rep)_Advanced Voting Votes,Leann Roper Airington (Rep)_Absentee by Mail Votes,Leann Roper Airington (Rep)_Provisional Votes,Leann Roper Airington (Rep)_Choice Total,Total,
0,Jasper,Wyatt,1940,491,530,187,1,1209,1209,
1,Jasper,Monticello,4516,349,1820,533,10,2712,2712,
2,Jasper,Martin-Burney,3976,845,1500,393,1,2739,2739,
