index,County,Precinct,Registered Voters,Don Jernigan (I) (Rep)_Election Day Votes,Don Jernigan (I) (Rep)_Advanced Voting Votes,Don Jernigan (I) (Rep)_Absentee by Mail Votes,Don Jernigan (I) (Rep)_Provisional Votes,Don Jernigan (I) (Rep)_Choice Total,Total,
0,Jasper,Monticello,4516,88,495,137,1,721,721,
1,Jasper,Martin-Burney,3976,302,493,126,0,921,921,
