index,County,Precinct,Registered Voters,Melvin Preston Wynens (I)_Election Day Votes,Melvin Preston Wynens (I)_Advanced Voting Votes,Melvin Preston Wynens (I)_Absentee by Mail Votes,Melvin Preston Wynens (I)_Provisional Votes,Melvin Preston Wynens (I)_Choice Total,Total,
0,Jasper,Wyatt,1940,431,464,183,1,1079,1079,
1,Jasper,Monticello,4516,331,1703,554,10,2598,2598,
2,Jasper,Martin-Burney,3976,726,1299,377,1,2403,2403,
