index,County,Precinct,Registered Voters,Bryce A. Johnson (Rep)_Election Day Votes,Bryce A. Johnson (Rep)_Advanced Voting Votes,Bryce A. Johnson (Rep)_Absentee by Mail Votes,Bryce A. Johnson (Rep)_Provisional Votes,Bryce A. Johnson (Rep)_Choice Total,Total,
0,Irwin,Irwinville,1796,314,729,160,0,1203,1203,
1,Irwin,Ocilla,3642,330,1313,237,3,1883,1883,
2,Irwin,Holt,675,125,283,59,0,467,467,
