index,County,Precinct,Registered Voters,Brandon Fletcher (I) (Rep)_Election Day Votes,Brandon Fletcher (I) (Rep)_Advanced Voting Votes,Brandon Fletcher (I) (Rep)_Absentee by Mail Votes,Brandon Fletcher (I) (Rep)_Provisional Votes,Brandon Fletcher (I) (Rep)_Choice Total,Total,
0,Irwin,Irwinville,1796,310,734,166,0,1210,1210,
1,Irwin,Ocilla,3642,339,1326,239,3,1907,1907,
2,Irwin,Holt,675,126,287,61,0,474,474,
