index,County,Precinct,Registered Voters,Lindsey McMahan (Rep)_Election Day Votes,Lindsey McMahan (Rep)_Advanced Voting Votes,Lindsey McMahan (Rep)_Absentee by Mail Votes,Lindsey McMahan (Rep)_Provisional Votes,Lindsey McMahan (Rep)_Choice Total,Charlie Johnson (Dem)_Election Day Votes,Charlie Johnson (Dem)_Advanced Voting Votes,Charlie Johnson (Dem)_Absentee by Mail Votes,Charlie Johnson (Dem)_Provisional Votes,Charlie Johnson (Dem)_Choice Total,Total,
0,Irwin,Irwinville,1796,292,681,152,0,1125,31,73,26,0,130,1255,
1,Irwin,Ocilla,3642,235,1041,168,2,1446,183,508,196,3,890,2336,
2,Irwin,Holt,675,108,253,48,0,409,32,50,36,0,118,527,
