index,County,Precinct,Registered Voters,Jimmy Mobley (Rep)_Election Day Votes,Jimmy Mobley (Rep)_Advanced Voting Votes,Jimmy Mobley (Rep)_Absentee by Mail Votes,Jimmy Mobley (Rep)_Provisional Votes,Jimmy Mobley (Rep)_Choice Total,Total,
0,Irwin,Irwinville,1796,299,675,146,0,1120,1120,
1,Irwin,Ocilla,3642,1,2,0,0,3,3,
