index,County,Precinct,Registered Voters,Anna V. Sullivan (I) (Rep)_Election Day Votes,Anna V. Sullivan (I) (Rep)_Advanced Voting Votes,Anna V. Sullivan (I) (Rep)_Absentee by Mail Votes,Anna V. Sullivan (I) (Rep)_Provisional Votes,Anna V. Sullivan (I) (Rep)_Choice Total,Total,
0,Bartow,Adairsville,6995,897,2655,642,1,4195,4195,
1,Bartow,Folsom,1448,418,378,128,0,924,924,
2,Bartow,Kingston,2674,688,718,258,0,1664,1664,
