index,County,Precinct,Registered Voters,Bruce Thompson (I) (Rep)_Election Day Votes,Bruce Thompson (I) (Rep)_Advanced Voting Votes,Bruce Thompson (I) (Rep)_Absentee by Mail Votes,Bruce Thompson (I) (Rep)_Provisional Votes,Bruce Thompson (I) (Rep)_Choice Total,Travis Johnson (Dem)_Election Day Votes,Travis Johnson (Dem)_Advanced Voting Votes,Travis Johnson (Dem)_Absentee by Mail Votes,Travis Johnson (Dem)_Provisional Votes,Travis Johnson (Dem)_Choice Total,Total,
0,Bartow,Adairsville,6995,603,1843,355,1,2802,120,330,262,1,713,3515,
1,Bartow,Allatoona,4729,553,1136,271,0,1960,123,291,263,0,677,2637,
2,Bartow,Cartersville East,6805,527,1682,546,0,2755,250,600,503,0,1353,4108,
3,Bartow,Cartersville West,8129,32,87,32,0,151,18,37,31,0,86,237,
4,Bartow,Cassville,4588,416,1244,575,0,2235,136,393,468,1,998,3233,
5,Bartow,Center,4007,669,1236,384,2,2291,108,244,202,0,554,2845,
6,Bartow,Emerson,3122,19,14,2,0,35,1,2,2,0,5,40,
7,Bartow,Folsom,1448,402,358,118,0,878,29,44,39,0,112,990,
8,Bartow,Hamilton Crossing,6598,704,2117,353,0,3174,177,486,242,1,906,4080,
9,Bartow,Pine Log,2132,638,500,180,1,1319,59,71,74,0,204,1523,
10,Bartow,White,2723,651,735,236,1,1623,70,99,98,0,267,1890,
11,Bartow,Zena Drive,6431,495,1399,456,4,2354,272,615,408,2,1297,3651,
