index,County,Precinct,Registered Voters,Mitchell McGraw (I) (Dem)_Election Day Votes,Mitchell McGraw (I) (Dem)_Advanced Voting Votes,Mitchell McGraw (I) (Dem)_Absentee by Mail Votes,Mitchell McGraw (I) (Dem)_Provisional Votes,Mitchell McGraw (I) (Dem)_Choice Total,Total,
0,Jefferson,Stapleton Crossroads,441,79,111,56,2,248,248,
1,Jefferson,Matthews,621,158,128,62,0,348,348,
2,Jefferson,Wrens,2870,495,731,372,2,1600,1600,
3,Jefferson,Louisville,3899,315,1239,504,5,2063,2063,
4,Jefferson,Wadley,1906,291,426,281,0,998,998,
5,Jefferson,Bartow,531,105,121,54,0,280,280,
6,Jefferson,Stapleton,678,179,109,53,0,341,341,
7,Jefferson,Avera,388,132,55,35,0,222,222,
