index,County,Precinct,Registered Voters,Mack Jackson (I) (Dem)_Election Day Votes,Mack Jackson (I) (Dem)_Advanced Voting Votes,Mack Jackson (I) (Dem)_Absentee by Mail Votes,Mack Jackson (I) (Dem)_Provisional Votes,Mack Jackson (I) (Dem)_Choice Total,Total,
0,Jefferson,Wadley,1906,271,394,307,0,972,972,
1,Jefferson,Bartow,531,91,112,55,0,258,258,
