index,County,Precinct,Registered Voters,Anne L. Durden (I) (Dem)_Election Day Votes,Anne L. Durden (I) (Dem)_Advanced Voting Votes,Anne L. Durden (I) (Dem)_Absentee by Mail Votes,Anne L. Durden (I) (Dem)_Provisional Votes,Anne L. Durden (I) (Dem)_Choice Total,Total,
0,Jefferson,Stapleton Crossroads,441,80,107,54,2,243,243,
1,Jefferson,Matthews,621,159,128,60,0,347,347,
2,Jefferson,Wrens,2870,480,702,374,2,1558,1558,
3,Jefferson,Louisville,3899,334,1269,522,5,2130,2130,
4,Jefferson,Wadley,1906,275,425,280,0,980,980,
5,Jefferson,Bartow,531,104,127,54,0,285,285,
6,Jefferson,Stapleton,678,163,105,54,0,322,322,
7,Jefferson,Avera,388,127,50,31,0,208,208,
