index,County,Precinct,Registered Voters,Johnny Davis (I) (Dem)_Election Day Votes,Johnny Davis (I) (Dem)_Advanced Voting Votes,Johnny Davis (I) (Dem)_Absentee by Mail Votes,Johnny Davis (I) (Dem)_Provisional Votes,Johnny Davis (I) (Dem)_Choice Total,Total,
0,Jefferson,Matthews,621,73,75,37,0,185,185,
1,Jefferson,Wrens,2870,153,177,162,0,492,492,
2,Jefferson,Louisville,3899,157,449,216,3,825,825,
