index,County,Precinct,Registered Voters,Charles (Gary) Hutchins (I) (Dem)_Election Day Votes,Charles (Gary) Hutchins (I) (Dem)_Advanced Voting Votes,Charles (Gary) Hutchins (I) (Dem)_Absentee by Mail Votes,Charles (Gary) Hutchins (I) (Dem)_Provisional Votes,Charles (Gary) Hutchins (I) (Dem)_Choice Total,Total,
0,Jefferson,Stapleton Crossroads,441,82,115,59,2,258,258,
1,Jefferson,Matthews,621,175,130,64,0,369,369,
2,Jefferson,Wrens,2870,486,761,378,3,1628,1628,
3,Jefferson,Louisville,3899,313,1284,516,5,2118,2118,
4,Jefferson,Wadley,1906,278,437,300,0,1015,1015,
5,Jefferson,Bartow,531,106,128,55,0,289,289,
6,Jefferson,Stapleton,678,189,121,62,0,372,372,
7,Jefferson,Avera,388,140,60,35,0,235,235,
