index,County,Precinct,Registered Voters,Na'Quella A. Davis (Dem)_Election Day Votes,Na'Quella A. Davis (Dem)_Advanced Voting Votes,Na'Quella A. Davis (Dem)_Absentee by Mail Votes,Na'Quella A. Davis (Dem)_Provisional Votes,Na'Quella A. Davis (Dem)_Choice Total,Total,
0,Jefferson,Stapleton Crossroads,441,73,95,61,2,231,231,
1,Jefferson,Matthews,621,133,114,60,0,307,307,
2,Jefferson,Wrens,2870,458,637,365,2,1462,1462,
3,Jefferson,Louisville,3899,331,1169,505,5,2010,2010,
4,Jefferson,Wadley,1906,275,398,316,0,989,989,
5,Jefferson,Bartow,531,93,107,51,0,251,251,
6,Jefferson,Stapleton,678,157,94,48,0,299,299,
7,Jefferson,Avera,388,99,44,29,0,172,172,
