index,County,Precinct,Registered Voters,Brian L. Prince (I) (Dem)_Election Day Votes,Brian L. Prince (I) (Dem)_Advanced Voting Votes,Brian L. Prince (I) (Dem)_Absentee by Mail Votes,Brian L. Prince (I) (Dem)_Provisional Votes,Brian L. Prince (I) (Dem)_Choice Total,Total,
0,Jefferson,Stapleton Crossroads,441,72,102,55,2,231,231,
1,Jefferson,Matthews,621,134,117,58,0,309,309,
2,Jefferson,Wrens,2870,457,643,354,2,1456,1456,
3,Jefferson,Louisville,3899,326,1173,498,5,2002,2002,
4,Jefferson,Stapleton,678,152,94,53,0,299,299,
5,Jefferson,Avera,388,104,46,25,0,175,175,
