index,County,Precinct,Registered Voters,Nancy W. McGraw (I) (Dem)_Election Day Votes,Nancy W. McGraw (I) (Dem)_Advanced Voting Votes,Nancy W. McGraw (I) (Dem)_Absentee by Mail Votes,Nancy W. McGraw (I) (Dem)_Provisional Votes,Nancy W. McGraw (I) (Dem)_Choice Total,Total,
0,Jefferson,Stapleton Crossroads,441,80,113,58,2,253,253,
1,Jefferson,Matthews,621,164,129,64,0,357,357,
2,Jefferson,Wrens,2870,495,744,380,2,1621,1621,
3,Jefferson,Louisville,3899,322,1256,509,5,2092,2092,
4,Jefferson,Wadley,1906,287,438,282,0,1007,1007,
5,Jefferson,Bartow,531,106,124,57,0,287,287,
6,Jefferson,Stapleton,678,179,115,54,0,348,348,
7,Jefferson,Avera,388,131,58,35,0,224,224,
