index,County,Precinct,Registered Voters,Lori Todd Boyen (Rep)_Election Day Votes,Lori Todd Boyen (Rep)_Advanced Voting Votes,Lori Todd Boyen (Rep)_Absentee by Mail Votes,Lori Todd Boyen (Rep)_Provisional Votes,Lori Todd Boyen (Rep)_Choice Total,Jeffery Chalker (Rep)_Election Day Votes,Jeffery Chalker (Rep)_Advanced Voting Votes,Jeffery Chalker (Rep)_Absentee by Mail Votes,Jeffery Chalker (Rep)_Provisional Votes,Jeffery Chalker (Rep)_Choice Total,Total,
0,Glascock,Edgehill,136,26,27,5,0,58,23,24,8,0,55,113,
1,Glascock,Gibson,677,70,152,34,0,256,44,117,41,0,202,458,
2,Glascock,Mill,778,69,176,37,0,282,79,151,35,0,265,547,
3,Glascock,Mitchell,448,57,86,49,0,192,50,51,20,0,121,313,
