index,County,Precinct,Registered Voters,Connie Kitchens - Jackson (I) (Rep)_Election Day Votes,Connie Kitchens - Jackson (I) (Rep)_Advanced Voting Votes,Connie Kitchens - Jackson (I) (Rep)_Absentee by Mail Votes,Connie Kitchens - Jackson (I) (Rep)_Provisional Votes,Connie Kitchens - Jackson (I) (Rep)_Choice Total,Total,
0,Glascock,Edgehill,136,48,48,8,0,104,104,
1,Glascock,Gibson,677,111,259,66,0,436,436,
2,Glascock,Mill,778,141,321,60,0,522,522,
3,Glascock,Mitchell,448,106,134,67,0,307,307,
