index,County,Precinct,Registered Voters,Lori Todd Boyen (I) (Rep)_Election Day Votes,Lori Todd Boyen (I) (Rep)_Advanced Voting Votes,Lori Todd Boyen (I) (Rep)_Absentee by Mail Votes,Lori Todd Boyen (I) (Rep)_Provisional Votes,Lori Todd Boyen (I) (Rep)_Choice Total,Total,
0,Glascock,Edgehill,136,41,46,4,0,91,91,
1,Glascock,Gibson,677,99,220,51,0,370,370,
2,Glascock,Mill,778,130,282,58,0,470,470,
3,Glascock,Mitchell,448,94,129,58,0,281,281,
