index,County,Precinct,Registered Voters,Bill Doupe (I) (Dem)_Election Day Votes,Bill Doupe (I) (Dem)_Advanced Voting Votes,Bill Doupe (I) (Dem)_Absentee by Mail Votes,Bill Doupe (I) (Dem)_Provisional Votes,Bill Doupe (I) (Dem)_Choice Total,Total,
0,Glascock,Edgehill,136,25,27,3,0,55,55,
1,Glascock,Gibson,677,75,138,33,0,246,246,
2,Glascock,Mill,778,95,183,41,0,319,319,
3,Glascock,Mitchell,448,79,72,39,0,190,190,
