index,County,Precinct,Registered Voters,Jeremy Kelley (I) (Rep)_Election Day Votes,Jeremy Kelley (I) (Rep)_Advanced Voting Votes,Jeremy Kelley (I) (Rep)_Absentee by Mail Votes,Jeremy Kelley (I) (Rep)_Provisional Votes,Jeremy Kelley (I) (Rep)_Choice Total,Total,
0,Glascock,Edgehill,136,46,50,6,0,102,102,
1,Glascock,Gibson,677,98,251,63,0,412,412,
2,Glascock,Mill,778,138,322,63,0,523,523,
3,Glascock,Mitchell,448,103,131,64,0,298,298,
