index,County,Precinct,Registered Voters,Scott V. Lamb (Rep)_Election Day Votes,Scott V. Lamb (Rep)_Advanced Voting Votes,Scott V. Lamb (Rep)_Absentee by Mail Votes,Scott V. Lamb (Rep)_Provisional Votes,Scott V. Lamb (Rep)_Choice Total,Total,
0,Glascock,Edgehill,136,47,47,8,0,102,102,
1,Glascock,Gibson,677,108,240,63,0,411,411,
2,Glascock,Mill,778,135,298,53,0,486,486,
3,Glascock,Mitchell,448,102,133,61,0,296,296,
