index,County,Precinct,Registered Voters,Stacey W. Thomas (I) (Rep)_Election Day Votes,Stacey W. Thomas (I) (Rep)_Advanced Voting Votes,Stacey W. Thomas (I) (Rep)_Absentee by Mail Votes,Stacey W. Thomas (I) (Rep)_Provisional Votes,Stacey W. Thomas (I) (Rep)_Choice Total,Total,
0,McDuffie,131,1172,77,265,156,0,498,498,
1,McDuffie,132,1507,112,796,180,0,1088,1088,
2,McDuffie,133A,1278,122,471,133,0,726,726,
3,McDuffie,133B,1959,229,830,197,0,1256,1256,
4,McDuffie,134,1908,130,595,238,0,963,963,
5,McDuffie,135,3089,217,1258,343,0,1818,1818,
6,McDuffie,136,1940,134,327,175,0,636,636,
7,McDuffie,137,1202,85,612,142,0,839,839,
8,McDuffie,139,978,90,379,115,0,584,584,
