index,County,Precinct,Registered Voters,Gloria Gunby Thompson (I) (Rep)_Election Day Votes,Gloria Gunby Thompson (I) (Rep)_Advanced Voting Votes,Gloria Gunby Thompson (I) (Rep)_Absentee by Mail Votes,Gloria Gunby Thompson (I) (Rep)_Provisional Votes,Gloria Gunby Thompson (I) (Rep)_Choice Total,Total,
0,McDuffie,132,1507,110,769,166,0,1045,1045,
1,McDuffie,133A,1278,78,291,57,0,426,426,
2,McDuffie,133B,1959,212,772,177,0,1161,1161,
3,McDuffie,134,1908,8,59,16,0,83,83,
4,McDuffie,135,3089,140,869,216,0,1225,1225,
5,McDuffie,137,1202,84,607,137,0,828,828,
6,McDuffie,139,978,89,368,104,0,561,561,
