index,County,Precinct,Registered Voters,"Charlie Newton, IV (I) (Rep)_Election Day Votes","Charlie Newton, IV (I) (Rep)_Advanced Voting Votes","Charlie Newton, IV (I) (Rep)_Absentee by Mail Votes","Charlie Newton, IV (I) (Rep)_Provisional Votes","Charlie Newton, IV (I) (Rep)_Choice Total",Paul W. McCorkle (Dem)_Election Day Votes,Paul W. McCorkle (Dem)_Advanced Voting Votes,Paul W. McCorkle (Dem)_Absentee by Mail Votes,Paul W. McCorkle (Dem)_Provisional Votes,Paul W. McCorkle (Dem)_Choice Total,Total,
0,McDuffie,131,1172,21,108,45,0,174,78,284,199,0,561,735,
1,McDuffie,132,1507,98,629,131,0,858,23,192,78,0,293,1151,
2,McDuffie,133A,1278,98,372,77,0,547,44,149,91,0,284,831,
3,McDuffie,133B,1959,178,670,120,0,968,65,229,118,0,412,1380,
4,McDuffie,134,1908,61,354,85,0,500,110,391,317,0,818,1318,
5,McDuffie,135,3089,157,942,208,0,1307,103,486,224,0,813,2120,
6,McDuffie,136,1940,39,116,44,0,199,154,387,311,0,852,1051,
7,McDuffie,137,1202,61,473,108,0,642,32,186,67,0,285,927,
8,McDuffie,139,978,58,252,49,0,359,47,195,112,0,354,713,
