index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,McDuffie,131,1172,15,102,37,0,154,84,287,207,0,578,1,8,2,0,11,743,
1,McDuffie,132,1507,110,770,150,0,1030,12,51,56,0,119,5,8,4,0,17,1166,
2,McDuffie,133A,1278,106,402,75,0,583,36,119,90,0,245,4,9,3,0,16,844,
3,McDuffie,133B,1959,193,728,125,0,1046,47,156,104,0,307,9,30,3,0,42,1395,
4,McDuffie,134,1908,62,385,82,0,529,109,356,321,0,786,4,9,4,0,17,1332,
5,McDuffie,135,3089,174,1048,232,0,1454,88,388,198,0,674,4,26,7,0,37,2165,
6,McDuffie,136,1940,39,119,33,0,191,152,379,308,0,839,8,16,7,0,31,1061,
7,McDuffie,137,1202,71,578,112,0,761,19,86,63,0,168,6,9,2,0,17,946,
8,McDuffie,139,978,71,315,64,0,450,27,133,92,0,252,6,4,6,0,16,718,
