index,County,Precinct,Registered Voters,Connie H. Cheatham (I) (Rep)_Election Day Votes,Connie H. Cheatham (I) (Rep)_Advanced Voting Votes,Connie H. Cheatham (I) (Rep)_Absentee by Mail Votes,Connie H. Cheatham (I) (Rep)_Provisional Votes,Connie H. Cheatham (I) (Rep)_Choice Total,Total,
0,McDuffie,131,1172,77,267,154,0,498,498,
1,McDuffie,132,1507,110,775,172,0,1057,1057,
2,McDuffie,133A,1278,126,458,124,0,708,708,
3,McDuffie,133B,1959,228,821,191,0,1240,1240,
4,McDuffie,134,1908,130,584,237,0,951,951,
5,McDuffie,135,3089,214,1251,329,0,1794,1794,
6,McDuffie,136,1940,135,328,178,0,641,641,
7,McDuffie,137,1202,86,602,144,0,832,832,
8,McDuffie,139,978,88,375,114,0,577,577,
