index,County,Precinct,Registered Voters,William 'Bill' Jopling (I) (Rep)_Election Day Votes,William 'Bill' Jopling (I) (Rep)_Advanced Voting Votes,William 'Bill' Jopling (I) (Rep)_Absentee by Mail Votes,William 'Bill' Jopling (I) (Rep)_Provisional Votes,William 'Bill' Jopling (I) (Rep)_Choice Total,Charles Reese (Dem)_Election Day Votes,Charles Reese (Dem)_Advanced Voting Votes,Charles Reese (Dem)_Absentee by Mail Votes,Charles Reese (Dem)_Provisional Votes,Charles Reese (Dem)_Choice Total,Total,
0,McDuffie,132,1507,106,743,148,0,997,12,81,59,0,152,1149,
1,McDuffie,133A,1278,73,264,45,0,382,10,44,19,0,73,455,
2,McDuffie,133B,1959,186,695,116,0,997,36,129,91,0,256,1253,
3,McDuffie,134,1908,5,50,14,0,69,4,19,7,0,30,99,
4,McDuffie,135,3089,116,743,162,0,1021,47,225,97,0,369,1390,
5,McDuffie,137,1202,67,558,118,0,743,26,102,62,0,190,933,
6,McDuffie,139,978,66,299,64,0,429,37,142,97,0,276,705,
