index,County,Precinct,Registered Voters,Paul Johnson (Rep)_Election Day Votes,Paul Johnson (Rep)_Advanced Voting Votes,Paul Johnson (Rep)_Absentee by Mail Votes,Paul Johnson (Rep)_Provisional Votes,Paul Johnson (Rep)_Choice Total,Total,
0,McDuffie,131,1172,76,265,153,0,494,494,
1,McDuffie,132,1507,114,791,173,0,1078,1078,
2,McDuffie,133A,1278,125,463,126,0,714,714,
3,McDuffie,133B,1959,227,835,190,0,1252,1252,
4,McDuffie,134,1908,129,591,233,0,953,953,
5,McDuffie,135,3089,218,1261,335,0,1814,1814,
6,McDuffie,136,1940,134,332,179,0,645,645,
7,McDuffie,137,1202,86,606,137,0,829,829,
8,McDuffie,139,978,91,377,111,0,579,579,
