index,County,Precinct,Registered Voters,Bill Doupe (I) (Dem)_Election Day Votes,Bill Doupe (I) (Dem)_Advanced Voting Votes,Bill Doupe (I) (Dem)_Absentee by Mail Votes,Bill Doupe (I) (Dem)_Provisional Votes,Bill Doupe (I) (Dem)_Choice Total,Total,
0,McDuffie,131,1172,98,344,225,0,667,667,
1,McDuffie,132,1507,92,620,152,0,864,864,
2,McDuffie,133A,1278,114,397,140,0,651,651,
3,McDuffie,133B,1959,186,732,189,0,1107,1107,
4,McDuffie,134,1908,154,625,376,0,1155,1155,
5,McDuffie,135,3089,213,1184,378,0,1775,1775,
6,McDuffie,136,1940,179,458,328,0,965,965,
7,McDuffie,137,1202,74,508,138,0,720,720,
8,McDuffie,139,978,83,358,142,0,583,583,
