index,County,Precinct,Registered Voters,Russell E. Barnes_Election Day Votes,Russell E. Barnes_Advanced Voting Votes,Russell E. Barnes_Absentee by Mail Votes,Russell E. Barnes_Provisional Votes,Russell E. Barnes_Choice Total,Patrick A. Lunceford_Election Day Votes,Patrick A. Lunceford_Advanced Voting Votes,Patrick A. Lunceford_Absentee by Mail Votes,Patrick A. Lunceford_Provisional Votes,Patrick A. Lunceford_Choice Total,George Reeves (I)_Election Day Votes,George Reeves (I)_Advanced Voting Votes,George Reeves (I)_Absentee by Mail Votes,George Reeves (I)_Provisional Votes,George Reeves (I)_Choice Total,Total,
0,McDuffie,131,1172,53,181,95,0,329,59,197,115,0,371,61,222,181,0,464,1164,
1,McDuffie,132,1507,73,514,105,0,692,70,521,109,0,700,82,653,150,0,885,2277,
2,McDuffie,133A,1278,90,304,76,0,470,84,286,73,0,443,110,393,118,0,621,1534,
3,McDuffie,133B,1959,153,581,121,0,855,146,526,116,0,788,187,708,172,0,1067,2710,
4,McDuffie,134,1908,82,400,150,0,632,86,411,177,0,674,98,491,287,0,876,2182,
5,McDuffie,135,3089,150,840,217,0,1207,144,900,245,0,1289,170,1047,320,0,1537,4033,
6,McDuffie,136,1940,104,245,113,0,462,96,256,132,0,484,101,305,229,0,635,1581,
7,McDuffie,137,1202,66,387,83,0,536,61,407,85,0,553,70,508,133,0,711,1800,
8,McDuffie,139,978,66,258,63,0,387,59,253,71,0,383,72,320,114,0,506,1276,
