index,County,Precinct,Registered Voters,Ron H. Freeman (I) (Rep)_Election Day Votes,Ron H. Freeman (I) (Rep)_Advanced Voting Votes,Ron H. Freeman (I) (Rep)_Absentee by Mail Votes,Ron H. Freeman (I) (Rep)_Provisional Votes,Ron H. Freeman (I) (Rep)_Choice Total,Total,
0,Forsyth,01 Big Creek,11222,707,4675,1930,4,7316,7316,
1,Forsyth,02 Brandywine,4500,508,1279,609,1,2397,2397,
2,Forsyth,03 Browns Bridge,10740,923,4875,1365,3,7166,7166,
3,Forsyth,04 Chestatee,6776,643,3280,760,2,4685,4685,
4,Forsyth,05 Coal Mountain,7852,711,3721,824,1,5257,5257,
5,Forsyth,06 Crossroads,7061,585,3403,617,1,4606,4606,
6,Forsyth,07 Cumming,6281,425,2537,812,1,3775,3775,
7,Forsyth,08 Mashburn,8296,702,3791,1246,2,5741,5741,
8,Forsyth,10 Midway,11631,725,5950,1613,4,8292,8292,
9,Forsyth,15 Heardsville,8091,714,3975,980,0,5669,5669,
10,Forsyth,16 Otwell,6333,500,2855,929,3,4287,4287,
11,Forsyth,19 Old Atlanta,3739,231,1768,504,0,2503,2503,
12,Forsyth,21 South Forsyth,8318,378,4070,1346,2,5796,5796,
13,Forsyth,25 Windermere,9714,625,4553,1352,3,6533,6533,
14,Forsyth,27 Concord,9858,979,5007,998,3,6987,6987,
15,Forsyth,29 Polo,11222,849,4664,1823,0,7336,7336,
16,Forsyth,34 Fowler,4965,402,1990,711,1,3104,3104,
17,Forsyth,35 Johns Creek,8444,380,3480,1454,1,5315,5315,
18,Forsyth,36 Nichols,6989,429,3399,971,4,4803,4803,
19,Forsyth,37 Sawnee,11952,677,5887,1619,4,8187,8187,
