index,County,Precinct,Registered Voters,Tom Cleveland (I) (Rep)_Election Day Votes,Tom Cleveland (I) (Rep)_Advanced Voting Votes,Tom Cleveland (I) (Rep)_Absentee by Mail Votes,Tom Cleveland (I) (Rep)_Provisional Votes,Tom Cleveland (I) (Rep)_Choice Total,Total,
0,Forsyth,02 Brandywine,4500,509,1276,602,1,2388,2388,
1,Forsyth,10 Midway,11631,728,5891,1563,3,8185,8185,
2,Forsyth,25 Windermere,9714,54,299,106,0,459,459,
3,Forsyth,29 Polo,11222,843,4618,1793,0,7254,7254,
4,Forsyth,34 Fowler,4965,402,1980,700,1,3083,3083,
5,Forsyth,37 Sawnee,11952,93,705,259,1,1058,1058,
