index,County,Precinct,Registered Voters,Daisy Weeks-Marisko (Rep)_Election Day Votes,Daisy Weeks-Marisko (Rep)_Advanced Voting Votes,Daisy Weeks-Marisko (Rep)_Absentee by Mail Votes,Daisy Weeks-Marisko (Rep)_Provisional Votes,Daisy Weeks-Marisko (Rep)_Choice Total,Total,
0,Forsyth,01 Big Creek,11222,704,4592,1887,5,7188,7188,
1,Forsyth,02 Brandywine,4500,499,1270,600,1,2370,2370,
2,Forsyth,03 Browns Bridge,10740,915,4805,1335,3,7058,7058,
3,Forsyth,04 Chestatee,6776,639,3250,737,2,4628,4628,
4,Forsyth,05 Coal Mountain,7852,706,3690,807,1,5204,5204,
5,Forsyth,06 Crossroads,7061,579,3348,603,1,4531,4531,
6,Forsyth,07 Cumming,6281,427,2493,777,1,3698,3698,
7,Forsyth,08 Mashburn,8296,692,3728,1209,2,5631,5631,
8,Forsyth,10 Midway,11631,732,5857,1562,4,8155,8155,
9,Forsyth,15 Heardsville,8091,709,3926,950,0,5585,5585,
10,Forsyth,16 Otwell,6333,498,2815,898,3,4214,4214,
11,Forsyth,19 Old Atlanta,3739,228,1744,493,0,2465,2465,
12,Forsyth,21 South Forsyth,8318,375,4009,1277,2,5663,5663,
13,Forsyth,25 Windermere,9714,617,4487,1321,3,6428,6428,
14,Forsyth,27 Concord,9858,975,4946,975,3,6899,6899,
15,Forsyth,29 Polo,11222,838,4604,1768,0,7210,7210,
16,Forsyth,34 Fowler,4965,399,1970,700,1,3070,3070,
17,Forsyth,35 Johns Creek,8444,380,3437,1434,1,5252,5252,
18,Forsyth,36 Nichols,6989,429,3346,936,4,4715,4715,
19,Forsyth,37 Sawnee,11952,669,5800,1576,4,8049,8049,
