index,County,Precinct,Registered Voters,Darla Sexton Light (I) (Rep)_Election Day Votes,Darla Sexton Light (I) (Rep)_Advanced Voting Votes,Darla Sexton Light (I) (Rep)_Absentee by Mail Votes,Darla Sexton Light (I) (Rep)_Provisional Votes,Darla Sexton Light (I) (Rep)_Choice Total,Total,
0,Forsyth,04 Chestatee,6776,636,3225,746,1,4608,4608,
1,Forsyth,05 Coal Mountain,7852,703,3692,804,1,5200,5200,
2,Forsyth,06 Crossroads,7061,580,3356,610,0,4546,4546,
3,Forsyth,15 Heardsville,8091,125,739,159,0,1023,1023,
4,Forsyth,27 Concord,9858,969,4959,980,3,6911,6911,
