index,County,Precinct,Registered Voters,Lindsey Adams (Rep)_Election Day Votes,Lindsey Adams (Rep)_Advanced Voting Votes,Lindsey Adams (Rep)_Absentee by Mail Votes,Lindsey Adams (Rep)_Provisional Votes,Lindsey Adams (Rep)_Choice Total,Total,
0,Forsyth,03 Browns Bridge,10740,799,4315,1203,0,6317,6317,
1,Forsyth,08 Mashburn,8296,692,3735,1213,2,5642,5642,
2,Forsyth,25 Windermere,9714,491,3501,1004,2,4998,4998,
3,Forsyth,36 Nichols,6989,372,2691,784,3,3850,3850,
