index,County,Precinct,Registered Voters,Sheri Smallwood Gilligan (I) (Rep)_Election Day Votes,Sheri Smallwood Gilligan (I) (Rep)_Advanced Voting Votes,Sheri Smallwood Gilligan (I) (Rep)_Absentee by Mail Votes,Sheri Smallwood Gilligan (I) (Rep)_Provisional Votes,Sheri Smallwood Gilligan (I) (Rep)_Choice Total,Natalie Bucsko (Dem)_Election Day Votes,Natalie Bucsko (Dem)_Advanced Voting Votes,Natalie Bucsko (Dem)_Absentee by Mail Votes,Natalie Bucsko (Dem)_Provisional Votes,Natalie Bucsko (Dem)_Choice Total,Total,
0,Forsyth,03 Browns Bridge,10740,45,199,60,0,304,7,45,29,0,81,385,
1,Forsyth,05 Coal Mountain,7852,195,1297,235,0,1727,24,185,93,0,302,2029,
2,Forsyth,07 Cumming,6281,313,1876,489,1,2679,124,586,386,1,1097,3776,
3,Forsyth,08 Mashburn,8296,17,86,29,0,132,4,24,16,0,44,176,
4,Forsyth,10 Midway,11631,478,3715,743,4,4940,139,1175,705,0,2019,6959,
5,Forsyth,15 Heardsville,8091,586,3227,711,0,4524,128,687,422,0,1237,5761,
6,Forsyth,16 Otwell,6333,404,2371,723,3,3501,97,632,369,0,1098,4599,
7,Forsyth,29 Polo,11222,393,2336,754,0,3483,134,816,640,0,1590,5073,
8,Forsyth,37 Sawnee,11952,570,4905,1144,3,6622,150,1554,961,3,2668,9290,
