index,County,Precinct,Registered Voters,Paul W. Holbrook (Rep)_Election Day Votes,Paul W. Holbrook (Rep)_Advanced Voting Votes,Paul W. Holbrook (Rep)_Absentee by Mail Votes,Paul W. Holbrook (Rep)_Provisional Votes,Paul W. Holbrook (Rep)_Choice Total,Total,
0,Forsyth,01 Big Creek,11222,709,4651,1892,4,7256,7256,
1,Forsyth,02 Brandywine,4500,507,1285,616,1,2409,2409,
2,Forsyth,03 Browns Bridge,10740,913,4818,1347,3,7081,7081,
3,Forsyth,04 Chestatee,6776,639,3250,750,2,4641,4641,
4,Forsyth,05 Coal Mountain,7852,702,3716,814,1,5233,5233,
5,Forsyth,06 Crossroads,7061,581,3369,615,1,4566,4566,
6,Forsyth,07 Cumming,6281,432,2519,796,1,3748,3748,
7,Forsyth,08 Mashburn,8296,695,3753,1219,2,5669,5669,
8,Forsyth,10 Midway,11631,729,5906,1566,4,8205,8205,
9,Forsyth,15 Heardsville,8091,712,3944,955,0,5611,5611,
10,Forsyth,16 Otwell,6333,502,2859,913,3,4277,4277,
11,Forsyth,19 Old Atlanta,3739,227,1765,500,0,2492,2492,
12,Forsyth,21 South Forsyth,8318,376,4030,1301,2,5709,5709,
13,Forsyth,25 Windermere,9714,619,4520,1320,3,6462,6462,
14,Forsyth,27 Concord,9858,977,4973,997,3,6950,6950,
15,Forsyth,29 Polo,11222,850,4652,1796,0,7298,7298,
16,Forsyth,34 Fowler,4965,404,1987,701,1,3093,3093,
17,Forsyth,35 Johns Creek,8444,379,3479,1437,1,5296,5296,
18,Forsyth,36 Nichols,6989,430,3372,940,4,4746,4746,
19,Forsyth,37 Sawnee,11952,681,5839,1601,4,8125,8125,
