index,County,Precinct,Registered Voters,Will Wade (Rep)_Election Day Votes,Will Wade (Rep)_Advanced Voting Votes,Will Wade (Rep)_Absentee by Mail Votes,Will Wade (Rep)_Provisional Votes,Will Wade (Rep)_Choice Total,Sharon L. Ravert (Dem)_Election Day Votes,Sharon L. Ravert (Dem)_Advanced Voting Votes,Sharon L. Ravert (Dem)_Absentee by Mail Votes,Sharon L. Ravert (Dem)_Provisional Votes,Sharon L. Ravert (Dem)_Choice Total,Total,
0,Forsyth,15 Heardsville,8091,31,297,52,0,380,14,40,32,0,86,466,
1,Forsyth,27 Concord,9858,248,1267,217,0,1732,34,190,135,0,359,2091,
