index,County,Precinct,Registered Voters,Todd Jones (I) (Rep)_Election Day Votes,Todd Jones (I) (Rep)_Advanced Voting Votes,Todd Jones (I) (Rep)_Absentee by Mail Votes,Todd Jones (I) (Rep)_Provisional Votes,Todd Jones (I) (Rep)_Choice Total,Christa Olenczak (Dem)_Election Day Votes,Christa Olenczak (Dem)_Advanced Voting Votes,Christa Olenczak (Dem)_Absentee by Mail Votes,Christa Olenczak (Dem)_Provisional Votes,Christa Olenczak (Dem)_Choice Total,Total,
0,Forsyth,01 Big Creek,11222,437,3169,1145,2,4753,174,1534,1126,2,2836,7589,
1,Forsyth,07 Cumming,6281,6,24,10,0,40,3,27,16,0,46,86,
2,Forsyth,08 Mashburn,8296,97,512,145,0,754,25,138,118,0,281,1035,
3,Forsyth,19 Old Atlanta,3739,189,1411,339,0,1939,59,565,352,0,976,2915,
4,Forsyth,21 South Forsyth,8318,319,3404,969,1,4693,96,1055,790,1,1942,6635,
5,Forsyth,25 Windermere,9714,162,1237,302,0,1701,91,895,481,1,1468,3169,
6,Forsyth,29 Polo,11222,103,455,153,0,711,42,272,203,0,517,1228,
7,Forsyth,35 Johns Creek,8444,278,2606,946,1,3831,153,1479,1117,0,2749,6580,
8,Forsyth,36 Nichols,6989,333,2490,604,1,3428,110,1118,581,2,1811,5239,
