index,County,Precinct,Registered Voters,Cindy Jones Mills (I) (Rep)_Election Day Votes,Cindy Jones Mills (I) (Rep)_Advanced Voting Votes,Cindy Jones Mills (I) (Rep)_Absentee by Mail Votes,Cindy Jones Mills (I) (Rep)_Provisional Votes,Cindy Jones Mills (I) (Rep)_Choice Total,Total,
0,Forsyth,04 Chestatee,6776,621,3158,737,1,4517,4517,
1,Forsyth,05 Coal Mountain,7852,699,3649,796,1,5145,5145,
2,Forsyth,06 Crossroads,7061,570,3275,600,0,4445,4445,
3,Forsyth,15 Heardsville,8091,123,731,158,0,1012,1012,
4,Forsyth,27 Concord,9858,950,4816,969,3,6738,6738,
