index,County,Precinct,Registered Voters,Greg G. Allen (I) (Rep)_Election Day Votes,Greg G. Allen (I) (Rep)_Advanced Voting Votes,Greg G. Allen (I) (Rep)_Absentee by Mail Votes,Greg G. Allen (I) (Rep)_Provisional Votes,Greg G. Allen (I) (Rep)_Choice Total,Total,
0,Forsyth,01 Big Creek,11222,702,4607,1903,4,7216,7216,
1,Forsyth,02 Brandywine,4500,501,1277,600,1,2379,2379,
2,Forsyth,03 Browns Bridge,10740,914,4804,1344,3,7065,7065,
3,Forsyth,04 Chestatee,6776,639,3249,745,2,4635,4635,
4,Forsyth,05 Coal Mountain,7852,705,3692,812,1,5210,5210,
5,Forsyth,06 Crossroads,7061,586,3369,604,1,4560,4560,
6,Forsyth,07 Cumming,6281,423,2507,793,1,3724,3724,
7,Forsyth,08 Mashburn,8296,696,3745,1216,2,5659,5659,
8,Forsyth,10 Midway,11631,732,5863,1566,4,8165,8165,
9,Forsyth,15 Heardsville,8091,705,3934,966,0,5605,5605,
10,Forsyth,16 Otwell,6333,495,2826,906,3,4230,4230,
11,Forsyth,19 Old Atlanta,3739,227,1751,495,0,2473,2473,
12,Forsyth,21 South Forsyth,8318,377,4018,1289,2,5686,5686,
13,Forsyth,25 Windermere,9714,623,4504,1321,3,6451,6451,
14,Forsyth,27 Concord,9858,978,4962,977,2,6919,6919,
15,Forsyth,29 Polo,11222,837,4607,1796,0,7240,7240,
16,Forsyth,34 Fowler,4965,400,1979,706,1,3086,3086,
17,Forsyth,35 Johns Creek,8444,378,3444,1429,1,5252,5252,
18,Forsyth,36 Nichols,6989,430,3355,947,4,4736,4736,
19,Forsyth,37 Sawnee,11952,671,5812,1583,4,8070,8070,
