index,County,Precinct,Registered Voters,Wes Cantrell (I) (Rep)_Election Day Votes,Wes Cantrell (I) (Rep)_Advanced Voting Votes,Wes Cantrell (I) (Rep)_Absentee by Mail Votes,Wes Cantrell (I) (Rep)_Provisional Votes,Wes Cantrell (I) (Rep)_Choice Total,Charles Ravenscraft (Dem)_Election Day Votes,Charles Ravenscraft (Dem)_Advanced Voting Votes,Charles Ravenscraft (Dem)_Absentee by Mail Votes,Charles Ravenscraft (Dem)_Provisional Votes,Charles Ravenscraft (Dem)_Choice Total,Total,
0,Forsyth,01 Big Creek,11222,111,436,146,1,694,50,316,213,0,579,1273,
1,Forsyth,02 Brandywine,4500,340,849,327,1,1517,264,794,606,1,1665,3182,
2,Forsyth,10 Midway,11631,132,1285,380,0,1797,41,377,277,0,695,2492,
3,Forsyth,29 Polo,11222,181,969,336,0,1486,71,392,334,0,797,2283,
4,Forsyth,34 Fowler,4965,329,1536,463,0,2328,120,823,537,1,1481,3809,
