index,County,Precinct,Registered Voters,"Rebecca """"Becky"""" S. Fowler (I) (Rep)_Election Day Votes","Rebecca """"Becky"""" S. Fowler (I) (Rep)_Advanced Voting Votes","Rebecca """"Becky"""" S. Fowler (I) (Rep)_Absentee by Mail Votes","Rebecca """"Becky"""" S. Fowler (I) (Rep)_Provisional Votes","Rebecca """"Becky"""" S. Fowler (I) (Rep)_Choice Total",Total,
0,Long,Beards Creek,1539,269,338,118,2,727,727,
1,Long,Rye Patch/Oak Dale,3131,396,842,169,4,1411,1411,
2,Long,South Ludowici,1392,130,313,81,2,526,526,
3,Long,North Ludowici,2281,232,578,124,2,936,936,
4,Long,Tibet,920,162,285,36,0,483,483,
5,Long,Alma Flournoy,298,64,98,17,2,181,181,
6,Long,Faith Baptist Annex,909,101,276,40,1,418,418,
